Dataset,Model,Enhancement,Optimizer,LR,BatchSize,Time/Epoch (sec),Total Time (sec),#Epoch(total),#Epoch(saved),Accuracy(total),Train Accuracy,NumParam,Accuracy_1,Accuracy_2,Accuracy_3,Accuracy_4,Accuracy_5,Accuracy_6,Accuracy_7,Accuracy_8,Accuracy_9,Accuracy_10
mnist,MLP,dropout,LBFGS,0.01,40000,8.59474826335907,859.474826335907,100,100,15.09,14.806,476490,38.16326530612245,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fashion_mnist,CNN,,K-FAC,1e-05,32,49.621872171759605,793.9499547481537,16,11,90.18,94.072,44426,85.6,97.8,84.8,89.6,85.6,97.5,71.4,96.2,97.6,95.7
mnist,CNN,no_pool,SGD,0.01,32,4.849316716194153,29.095900297164917,6,1,92.26,92.278,54100,94.89795918367346,98.76651982378854,85.65891472868218,90.79207920792079,92.4643584521385,92.9372197309417,97.7035490605428,93.77431906614785,81.62217659137578,93.3597621407334
cifar,CNN,dropout,LBFGS,0.1,50000,17.843053892680576,624.5068862438202,35,30,52.95,54.3575,62006,53.9,65.5,36.2,32.2,42.8,39.1,72.7,59.9,69.6,57.6
mnist,CNN,,LBFGS,0.001,32,19.974749531064713,279.646493434906,14,9,11.97,11.56,44426,14.84375,94.07407407407408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cifar,CNN,no_pool,SGD,0.01,32,4.558528661727905,41.02675795555115,9,4,31.51,31.6975,63520,7.8,50.9,6.9,5.4,15.8,53.1,53.6,38.8,70.2,12.6
fashion_mnist,CNN,dropout,LBFGS,0.001,50000,17.54693820476532,1754.693820476532,100,99,10.0,9.99,44426,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cifar,MLP,dropout,K-FAC,0.1,32,310.8216774861018,1864.9300649166107,6,1,27.51,28.295,1647946,29.1,5.0,38.5,8.3,20.6,17.2,31.4,26.6,47.9,50.5
cifar,CNN,dropout,K-FAC,0.1,32,13.027062972386679,78.16237783432007,6,1,20.86,21.0625,62006,16.5,38.6,23.7,3.4,54.1,6.3,0.8,16.1,48.7,0.4
fashion_mnist,MLP,,K-FAC,0.001,32,23.55349651972453,141.32097911834717,6,1,75.71,77.484,476490,69.4,91.2,78.2,65.1,71.1,82.1,45.4,90.9,78.4,85.3
fashion_mnist,MLP,dropout,K-FAC,0.0001,32,67.32817884286244,1211.907219171524,18,13,88.65,92.188,476490,81.7,96.5,80.6,91.5,83.4,95.5,68.5,96.2,97.6,95.0
mnist,CNN,,LBFGS,0.01,40000,19.061038976834144,1543.9441571235657,81,76,98.51,98.798,44426,100.0,97.77777777777777,97.87234042553192,98.38709677419355,98.55072463768116,94.38202247191012,98.46153846153847,97.3913043478261,99.11504424778761,97.84172661870504
fashion_mnist,CNN,dropout,LBFGS,0.1,50000,17.98539502280099,377.6932954788208,21,16,84.5,85.168,44426,83.1,96.2,73.8,88.5,78.6,95.5,45.2,94.2,95.5,94.4
cifar,CNN,,SGD,0.01,50000,8.108924758434295,810.8924758434296,100,100,20.19,20.685,62006,27.2,49.8,0.0,24.7,0.0,0.0,10.3,55.6,1.8,32.5
mnist,CNN,no_pool,SGD,0.001,32,5.0452414119944855,85.76910400390625,17,12,98.07,98.692,54100,98.46938775510205,99.47136563876651,97.67441860465117,98.11881188118812,98.26883910386965,96.97309417040358,98.32985386221294,98.05447470817121,98.25462012320328,96.82854311199208
fashion_mnist,CNN,dropout,SGD,0.0001,32,4.7516297698020935,475.16297698020935,100,98,85.32,86.246,44426,83.6,95.5,71.0,88.8,79.8,94.9,55.4,93.9,95.6,94.7
mnist,CNN,,SGD,0.01,40000,7.893951032161713,789.3951032161713,100,100,60.13,58.748,44426,97.65625,98.51851851851852,65.95744680851064,58.87096774193548,80.43478260869566,4.49438202247191,51.53846153846154,64.34782608695652,34.51327433628319,6.474820143884892
cifar,CNN,,SGD,0.01,32,14.176818224099966,184.29863691329956,13,8,61.38,69.1675,62006,64.3,81.7,51.9,36.9,58.7,51.0,57.9,72.8,70.5,68.1
mnist,CNN,"dropout, no_pool",K-FAC,0.0001,32,17.173360413312913,686.9344165325165,40,35,96.78,97.352,54100,99.18367346938776,99.11894273127753,95.44573643410853,95.84158415841584,97.14867617107943,95.85201793721973,97.59916492693111,96.20622568093385,95.99589322381931,95.14370664023787
cifar,MLP,dropout,LBFGS,0.01,50000,8.986488404481307,413.37846660614014,46,41,42.36,42.2025,1647946,43.1,55.1,18.2,28.6,30.8,34.1,53.5,52.3,56.6,51.3
fashion_mnist,CNN,,K-FAC,0.001,32,13.20314872264862,79.21889233589172,6,1,82.66,84.008,44426,74.7,95.3,72.6,85.1,75.8,92.6,53.3,92.5,92.0,92.7
cifar,CNN,"dropout, no_pool",K-FAC,0.001,32,24.263739013671874,242.63739013671875,10,5,10.0,9.875,63520,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
fashion_mnist,CNN,dropout,LBFGS,0.01,50000,17.68979043671579,583.7630844116211,33,28,74.17,0.0,44426,75.8,90.9,68.5,76.1,73.5,80.1,8.2,84.7,89.2,94.7
fashion_mnist,MLP,dropout,LBFGS,0.01,50000,8.30921984570367,697.9744670391083,84,79,84.17,85.54,476490,82.2,95.6,73.3,86.1,77.3,90.4,56.1,91.0,95.7,94.0
fashion_mnist,CNN,no_pool,LBFGS,0.001,50000,24.969081659317016,2496.9081659317017,100,100,76.66,77.87,54100,77.5,91.5,64.7,80.6,67.6,88.8,24.7,85.9,91.8,93.5
mnist,CNN,,K-FAC,0.0001,32,13.088040855195787,117.79236769676208,9,4,98.66,99.18,44426,99.48979591836735,99.20704845814979,98.44961240310077,98.7128712871287,99.18533604887983,98.87892376681614,97.91231732776617,98.92996108949416,97.84394250513347,97.9187314172448
fashion_mnist,MLP,,LBFGS,0.1,50000,8.117150117953619,194.81160283088684,24,19,87.37,90.736,476490,81.4,96.1,80.7,88.5,80.1,95.1,66.9,94.8,95.6,94.5
cifar,MLP,,LBFGS,0.01,32,69.65986938714981,6965.986938714981,100,99,10.0,10.0325,1647946,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fashion_mnist,MLP,,LBFGS,0.01,32,8.395542666912078,839.5542666912079,100,100,14.07,14.04,476490,13.1,0.0,0.4,40.9,7.7,0.0,26.0,0.0,0.0,52.6
cifar,CNN,,SGD,0.1,32,13.152407949621027,144.6764874458313,11,6,10.0,10.1475,62006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
fashion_mnist,CNN,dropout,LBFGS,0.0001,50000,17.22343769788742,1722.343769788742,100,98,10.0,9.998,44426,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mnist,CNN,"dropout, no_pool",SGD,0.001,32,5.479046604850075,180.8085379600525,33,28,96.88,96.976,54100,98.87755102040816,99.20704845814979,96.12403100775194,94.85148514851485,96.74134419551935,97.53363228699551,98.22546972860125,95.52529182879377,96.50924024640658,95.14370664023787
fashion_mnist,MLP,,LBFGS,0.001,32,19.445609198676216,175.01048278808594,9,4,6.78,6.7,476490,45.3,0.2,6.2,0.0,0.0,16.0,0.0,0.0,0.0,0.1
fashion_mnist,CNN,,SGD,0.0001,32,15.936773764326217,1498.0567338466644,94,89,87.39,88.866,44426,86.8,96.5,80.5,89.0,80.7,96.7,57.6,94.7,96.2,95.2
fashion_mnist,CNN,,LBFGS,0.001,50000,19.112932295799254,1911.2932295799255,100,100,79.44,80.728,44426,78.3,92.4,59.8,83.3,74.1,89.3,40.4,90.6,92.5,93.7
mnist,MLP,dropout,LBFGS,0.1,40000,8.15832113712392,383.4410934448242,47,42,98.04,99.294,476490,99.08163265306122,99.38325991189427,98.15891472868218,97.52475247524752,97.86150712830957,97.53363228699551,98.32985386221294,97.85992217898833,97.53593429158111,96.92765113974232
mnist,CNN,"dropout, no_pool",LBFGS,0.1,40000,89.75547660887241,1436.0876257419586,16,11,9.8,9.758,54100,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fashion_mnist,CNN,,K-FAC,0.0001,32,8.759615242481232,70.07692193984985,8,3,88.64,91.628,44426,85.2,98.2,85.5,89.9,77.8,95.5,67.5,95.6,96.7,94.5
cifar,CNN,dropout,SGD,0.01,32,4.282575007407896,132.75982522964478,31,26,55.77,61.0075,62006,60.5,72.5,34.6,38.9,48.7,47.4,65.7,61.7,74.2,53.5
fashion_mnist,CNN,no_pool,K-FAC,0.0001,32,25.177811980247498,201.42249584197998,8,3,86.27,89.246,54100,84.1,97.2,76.6,84.5,81.1,94.8,61.5,94.2,94.2,94.5
cifar,CNN,dropout,LBFGS,0.001,50000,17.508891786847794,122.56224250793457,7,2,10.0,9.875,62006,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
fashion_mnist,CNN,no_pool,SGD,0.0001,32,4.918605281247033,354.1395802497864,72,67,85.36,87.52,54100,77.4,95.6,75.7,86.0,78.9,94.1,63.0,93.4,95.5,94.0
cifar,CNN,no_pool,LBFGS,0.001,50000,30.503096554279328,3050.3096554279327,100,99,10.0,9.93,63520,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fashion_mnist,CNN,,LBFGS,0.001,32,20.84142936600579,187.57286429405212,9,4,10.05,9.948,44426,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
mnist,MLP,dropout,K-FAC,0.001,32,15.667805592219034,94.00683355331421,6,1,78.29,78.21,476490,88.87755102040816,90.13215859030836,80.9108527131783,76.43564356435644,79.53156822810591,69.61883408071749,82.88100208768267,77.33463035019456,49.07597535934291,85.13379583746284
fashion_mnist,CNN,,LBFGS,0.01,50000,17.982646811008454,1798.2646811008453,100,100,88.07,89.448,44426,84.6,97.1,82.3,89.0,80.1,95.7,65.0,94.9,97.3,94.7
cifar,CNN,dropout,SGD,0.0001,32,4.7156958842277525,471.56958842277527,100,99,49.26,49.3875,62006,52.6,61.2,30.4,24.1,43.4,33.5,68.8,58.9,61.3,58.4
fashion_mnist,CNN,"dropout, no_pool",LBFGS,0.0001,50000,42.466517454101925,1783.5937330722809,42,37,10.15,10.232,54100,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.5,0.0,0.0
cifar,MLP,,SGD,0.001,32,4.209150934219361,63.137264013290405,15,10,52.18,60.36,1647946,45.2,69.3,35.1,34.1,57.5,37.3,64.4,52.6,72.9,53.4
cifar,CNN,dropout,K-FAC,0.01,32,12.901300509770712,77.40780305862427,6,1,20.13,19.925,62006,31.2,14.8,0.8,5.7,68.5,14.3,0.1,13.1,2.1,50.7
cifar,CNN,,LBFGS,0.001,50000,18.941629423413957,662.9570298194885,35,30,34.51,34.4375,62006,48.3,38.4,3.0,7.1,29.4,30.0,57.4,46.0,40.9,44.6
cifar,MLP,,LBFGS,0.001,50000,8.783905880791801,61.4873411655426,7,2,14.17,14.0275,1647946,47.7,7.4,0.0,0.0,7.5,0.0,0.0,0.0,79.1,0.0
fashion_mnist,CNN,no_pool,LBFGS,0.01,50000,25.201748628616333,2520.1748628616333,100,100,86.23,88.344,54100,81.4,96.3,77.2,87.3,77.6,95.0,61.4,94.5,95.8,95.8
cifar,CNN,no_pool,SGD,0.001,32,4.3895932327617295,96.57105112075806,22,17,49.51,52.31,63520,58.0,61.8,27.7,31.2,44.8,45.6,57.2,59.3,59.4,50.1
fashion_mnist,CNN,dropout,LBFGS,1.0,50000,17.72831062403592,975.0570843219757,55,50,90.35,93.38,44426,82.9,97.8,85.7,92.0,86.5,96.9,69.8,98.1,97.7,96.1
fashion_mnist,CNN,no_pool,K-FAC,1e-05,32,79.79011220198412,1037.2714586257935,13,8,87.24,91.716,54100,81.3,97.0,78.8,86.9,81.6,95.3,64.9,95.3,96.4,94.9
cifar,MLP,,K-FAC,0.001,32,201.28112225099042,2214.092344760895,11,6,26.04,27.5225,1647946,56.5,52.6,0.3,0.0,0.0,1.3,85.3,14.6,29.2,20.6
cifar,MLP,,LBFGS,0.0001,32,5.975790874958038,597.5790874958038,100,100,9.34,9.47,1647946,17.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.5,0.0
cifar,CNN,no_pool,K-FAC,0.0001,32,15.61665407816569,140.5498867034912,9,4,47.57,55.14,63520,51.3,62.5,28.9,27.1,42.1,41.0,59.5,52.3,55.6,55.4
mnist,CNN,dropout,SGD,0.001,32,4.714066050269387,155.56417965888977,33,28,98.87,99.292,44426,99.6938775510204,99.29515418502203,99.2248062015504,98.7128712871287,99.4908350305499,98.76681614349776,97.91231732776617,98.83268482490273,98.97330595482546,97.7205153617443
cifar,CNN,"dropout, no_pool",K-FAC,0.01,32,23.535559435685474,282.4267132282257,12,7,10.0,9.99,63520,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
fashion_mnist,MLP,,K-FAC,0.0001,32,30.80254332224528,277.2228899002075,9,4,87.53,91.924,476490,79.6,98.0,77.0,89.2,84.4,92.6,64.9,96.4,97.4,95.8
cifar,CNN,,LBFGS,0.001,32,15.002932747205099,360.07038593292236,24,19,10.0,10.0075,62006,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
mnist,CNN,no_pool,K-FAC,0.001,32,23.02004563808441,322.28063893318176,14,9,90.09,90.062,54100,89.79591836734694,95.33039647577093,91.95736434108527,88.01980198019803,93.48268839103869,98.4304932735426,94.67640918580376,88.91050583657588,74.84599589322382,85.53022794846383
mnist,CNN,,LBFGS,0.1,40000,19.34407373837062,270.8170323371887,14,9,98.83,99.088,44426,99.21875,99.25925925925925,99.29078014184397,97.58064516129032,100.0,97.75280898876404,96.92307692307692,99.1304347826087,99.11504424778761,99.28057553956835
mnist,CNN,"dropout, no_pool",K-FAC,0.001,32,12.922161367204454,116.29945230484009,9,4,90.36,89.65,54100,96.22448979591837,98.59030837004406,86.9186046511628,86.73267326732673,92.9735234215886,84.19282511210763,92.48434237995825,85.7976653696498,87.47433264887064,90.8820614469772
cifar,CNN,,SGD,0.001,32,4.2835618532620945,111.37260818481445,26,21,62.07,70.58,62006,69.8,71.5,54.2,34.5,50.2,51.2,71.5,71.3,79.8,66.7
mnist,CNN,"dropout, no_pool",K-FAC,0.01,32,26.16780912876129,157.00685477256775,6,1,87.58,87.038,54100,96.12244897959184,98.41409691629956,77.81007751937985,87.82178217821782,83.19755600814663,71.8609865470852,95.09394572025052,85.7976653696498,88.80903490759754,88.50346878097126
mnist,MLP,,LBFGS,0.001,40000,8.219910837985852,443.87518525123596,54,49,78.95,78.584,476490,93.26530612244898,93.74449339207048,70.63953488372093,80.39603960396039,77.69857433808554,65.13452914798206,86.74321503131524,85.3112840466926,65.91375770020534,67.59167492566898
cifar,CNN,"dropout, no_pool",SGD,0.001,32,5.028507297689265,221.25432109832764,44,39,39.93,40.54,63520,30.2,32.7,13.7,23.3,27.5,31.8,61.3,57.1,62.4,59.3
cifar,CNN,"dropout, no_pool",LBFGS,0.001,50000,30.06820321083069,240.5456256866455,8,3,10.0,9.92,63520,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fashion_mnist,CNN,"dropout, no_pool",SGD,0.001,32,5.510397484808257,363.68623399734497,66,61,84.93,87.07,54100,82.9,96.1,77.2,87.5,79.5,92.1,52.0,92.5,94.2,95.3
fashion_mnist,CNN,dropout,SGD,0.01,32,4.67290220505152,182.24318599700928,39,34,89.29,91.1,44426,83.3,97.0,83.8,90.2,85.6,96.8,66.2,97.7,97.9,94.4
cifar,CNN,"dropout, no_pool",LBFGS,0.0001,50000,52.33863714763096,3297.3341403007507,63,58,10.0,9.92,63520,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mnist,CNN,dropout,LBFGS,0.01,40000,18.210854760805766,546.325642824173,30,25,11.35,11.26,44426,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fashion_mnist,MLP,,LBFGS,0.01,50000,8.181027457631867,474.4995925426483,58,53,87.83,90.916,476490,81.8,96.4,80.7,88.2,81.5,94.9,68.5,94.6,96.3,95.4
cifar,CNN,,LBFGS,0.01,50000,19.459332914352416,1945.9332914352417,100,100,63.44,68.565,62006,66.1,74.7,52.0,43.5,57.1,51.6,74.2,69.2,75.1,70.9
mnist,CNN,dropout,K-FAC,0.001,32,13.23303429897015,172.02944588661194,13,8,98.01,97.994,44426,99.38775510204081,99.38325991189427,98.35271317829458,97.52475247524752,97.65784114052953,98.54260089686099,97.80793319415449,97.76264591439688,98.15195071868582,95.44103072348861
fashion_mnist,CNN,dropout,K-FAC,0.001,32,14.134923426310221,212.02385139465332,15,10,84.37,84.658,44426,83.4,95.1,75.9,90.9,79.9,90.4,42.4,92.3,96.5,96.9
cifar,CNN,,LBFGS,0.0005,32,16.092239005225046,112.64567303657532,7,2,10.0,10.0075,62006,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
cifar,CNN,no_pool,LBFGS,0.01,50000,30.112598606256338,1957.318909406662,65,60,39.07,39.6175,63520,45.6,56.5,18.9,21.1,27.6,30.2,60.4,49.1,43.2,38.1
cifar,MLP,,SGD,0.01,32,10.755588960647582,107.55588960647583,10,5,51.54,59.4675,1647946,55.7,66.1,40.0,39.3,32.9,26.1,71.2,61.3,73.8,49.0
mnist,CNN,no_pool,LBFGS,0.001,40000,25.074535064697265,2507.4535064697266,100,100,94.87,95.088,54100,97.55102040816327,98.6784140969163,93.9922480620155,93.96039603960396,94.60285132382892,94.28251121076234,95.82463465553236,94.16342412451363,92.19712525667352,92.9633300297324
mnist,CNN,dropout,LBFGS,0.0001,40000,25.338989886370573,1951.102221250534,77,72,11.35,11.26,44426,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mnist,MLP,,K-FAC,0.001,32,30.16858196258545,181.0114917755127,6,1,83.9,83.098,476490,90.81632653061224,95.77092511013215,83.43023255813954,77.22772277227723,82.99389002036659,71.74887892376681,88.51774530271399,83.46303501945525,84.18891170431212,78.39444995044599
mnist,CNN,,SGD,0.1,40000,7.767025626938919,225.24374318122864,29,24,69.03,67.692,44426,82.03125,93.33333333333333,87.94326241134752,62.903225806451616,26.81159420289855,50.561797752808985,87.6923076923077,80.8695652173913,45.13274336283186,53.23741007194245
cifar,CNN,,LBFGS,0.01,32,12.74655925989151,1274.655925989151,100,99,22.26,21.5675,62006,32.0,9.9,13.0,10.4,38.6,20.8,8.1,27.8,9.3,52.7
mnist,CNN,no_pool,K-FAC,0.01,32,21.289881378412247,170.31905102729797,8,3,88.69,88.904,54100,92.34693877551021,96.47577092511013,89.14728682170542,74.55445544554455,88.79837067209776,83.6322869955157,87.05636743215031,89.2023346303502,95.07186858316221,89.29633300297324
